2015-06-15 14:10:10,998 | WARN  | Transport Connection to: tcp://127.0.0.1:61822 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:61822
2015-06-15 14:15:10,511 | WARN  | Transport Connection to: tcp://127.0.0.1:62109 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62109
2015-06-15 14:15:10,513 | WARN  | Transport Connection to: tcp://127.0.0.1:62113 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62113
2015-06-15 14:15:10,513 | WARN  | Transport Connection to: tcp://127.0.0.1:62111 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62111
2015-06-15 14:15:10,512 | WARN  | Transport Connection to: tcp://127.0.0.1:62112 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62112
2015-06-15 14:15:10,511 | WARN  | Transport Connection to: tcp://127.0.0.1:62110 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:62110
2015-06-15 14:18:08,247 | WARN  | Transport Connection to: tcp://127.0.0.1:63265 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63265
2015-06-15 14:18:08,248 | WARN  | Transport Connection to: tcp://127.0.0.1:63268 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63268
2015-06-15 14:18:08,247 | WARN  | Transport Connection to: tcp://127.0.0.1:63266 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63266
2015-06-15 14:18:08,250 | WARN  | Transport Connection to: tcp://127.0.0.1:63267 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63267
2015-06-15 14:18:08,248 | WARN  | Transport Connection to: tcp://127.0.0.1:63269 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63269
2015-06-15 14:21:10,117 | WARN  | Transport Connection to: tcp://127.0.0.1:63648 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63648
2015-06-15 14:21:10,117 | WARN  | Transport Connection to: tcp://127.0.0.1:63650 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:63650
